iter	Passed	Remaining
0	599	419265
1	912	318551
2	1148	266818
3	1399	243505
4	1637	227637
5	1870	216312
6	2099	207834
7	2321	200818
8	2580	198097
9	2797	193018
10	3011	188601
11	3233	185374
12	3452	182454
13	3692	180919
14	3897	177980
15	4140	176995
16	4191	168409
17	4409	167060
18	4628	165893
19	4850	164926
20	5093	164704
21	5322	164040
22	5541	163107
23	5772	162590
24	5976	161369
25	6259	162256
26	6501	162066
27	6766	162399
28	6989	161727
29	7229	161449
30	7503	161928
31	7735	161482
32	7941	160506
33	8211	160843
34	8450	160562
35	8731	161056
36	8960	160562
37	9218	160591
38	9448	160133
39	9686	159829
40	9927	159574
41	10188	159618
42	10440	159515
43	10724	159889
44	10990	159971
45	11205	159307
46	11488	159623
47	11716	159149
48	11941	158657
49	12176	158294
50	12407	157888
51	12641	157532
52	12888	157341
53	13085	156537
54	13176	154520
55	13418	154307
56	13649	153976
57	13872	153554
58	14102	153218
59	14362	153203
60	14600	152941
61	14843	152746
62	15091	152596
63	15320	152247
64	15545	151870
65	15786	151650
66	16041	151557
67	16331	151784
68	16628	152065
69	16838	151544
70	17050	151053
71	17285	150771
72	17521	150491
73	17801	150588
74	18070	150587
75	18353	150694
76	18629	150732
77	18882	150573
78	19118	150289
79	19348	149952
80	19586	149677
81	19846	149572
82	20099	149417
83	20354	149263
84	20554	148715
85	20801	148511
86	21061	148400
87	21315	148240
88	21594	148252
89	21874	148259
90	22086	147807
91	22335	147608
92	22595	147477
93	22810	147054
94	23082	146999
95	23319	146715
96	23572	146537
97	23848	146498
98	24078	146176
99	24318	145912
100	24568	145705
101	24825	145543
102	25074	145332
103	25332	145174
104	25576	144935
105	25826	144725
106	26101	144658
107	26357	144480
108	26608	144272
109	26804	143770
110	27041	143489
111	27151	142546
112	27381	142235
113	27631	142034
114	27870	141775
115	28092	141430
116	28315	141095
117	28540	140765
118	28770	140469
119	28995	140145
120	29227	139857
121	29460	139574
122	29726	139446
123	29905	138915
124	30114	138524
125	30330	138174
126	30562	137891
127	30779	137545
128	31024	137326
129	31277	137140
130	31543	137008
131	31785	136776
132	31995	136402
133	32231	136143
134	32492	135987
135	32732	135742
136	32977	135520
137	33191	135170
138	33464	135061
139	33702	134808
140	33930	134520
141	34169	134269
142	34420	134073
143	34681	133908
144	34952	133785
145	35184	133508
146	35447	133351
147	35674	133057
148	35894	132738
149	36159	132585
150	36385	132288
151	36635	132081
152	36888	131883
153	37150	131715
154	37406	131525
155	37653	131304
156	37891	131052
157	38163	130916
158	38406	130677
159	38644	130425
160	38890	130197
161	39097	129843
162	39348	129634
163	39602	129431
164	39880	129309
165	40125	129076
166	40355	128798
167	40576	128493
168	40832	128297
169	41062	128018
170	41317	127818
171	41544	127532
172	41747	127173
173	41984	126919
174	42191	126574
175	42451	126388
176	42735	126275
177	42966	126001
178	43239	125854
179	43449	125521
180	43708	125330
181	43967	125138
182	44217	124919
183	44448	124648
184	44662	124329
185	44920	124134
186	45162	123895
187	45420	123699
188	45669	123478
189	45905	123220
190	46152	122994
191	46412	122799
192	46632	122500
193	46856	122214
194	47104	121987
195	47347	121751
196	47613	121570
197	47850	121318
198	48114	121133
199	48344	120860
200	48606	120668
201	48834	120393
202	49074	120148
203	49316	119907
204	49539	119619
205	49766	119341
206	50012	119112
207	50253	118868
208	50499	118637
209	50743	118400
210	50950	118079
211	51188	117830
212	51464	117667
213	51737	117496
214	51976	117248
215	52207	116982
216	52431	116701
217	52653	116417
218	52886	116156
